bigbang,boyorgrl,childs,chldidel,class,conarmy,conbiz,conchurh,concong,concourt,condrift,conschls,divorce,earthsun,electron,evolved,finalter,god,grass,gunlaw,helpoth,hlthdays,homosex1,hotcore,id,intecon,intintl,inttech,makefrnd,mntlhlth,obey,othersex,othlang,owngun,popular,racwork,radioact,rank,realinc,realrinc,relpersn,rowngun,satfin,sexeduc,sexornt,socbar,socfrend,socommun,socrel,solarrev,sprtprsn,thnkself,trustsci,viruses,workhard,xmarsex1,year
0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,0,0,0,7,0,0,0,0,0,4,0,1,2,5,3,0,7,8512.5,8512.5,2,0,2,0,3,0,0,0,0,0,2,1,0,0,2,0,2018
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,6,1,1,1,0,0,0,8,0,0,0,0,1,4,0,2,2,5,3,0,5,24970,17025,2,0,2,0,3,0,0,0,0,0,2,3,0,0,2,0,2018
0,1,2,3,3,0,2,2,4,2,1,2,0,1,1,0,1,5,0,1,0,0,4,1,11,1,1,1,2,0,0,0,1,1,0,3,2,3,72640,54480,3,1,2,1,3,3,4,2,1,3,3,0,4,2,0,2,2018
0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,3,6,1,1,3,0,0,0,14,0,0,0,0,0,4,0,1,2,5,2,0,7,54480,45400,2,0,2,0,3,0,0,0,0,0,2,2,0,0,1,0,2018
0,0,4,4,3,0,4,2,5,3,0,3,2,2,0,0,3,6,0,1,0,0,1,0,16,1,2,2,3,0,0,0,2,2,0,2,0,5,30645,5107.5,1,0,2,1,3,7,6,3,2,0,1,0,2,1,0,1,2018
0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,2,5,2,1,2,0,0,0,19,0,0,0,0,0,5,0,2,2,4,2,0,7,37455,30645,3,0,2,0,3,0,0,0,0,0,2,1,0,0,3,0,2018
1,2,1,2,3,0,3,3,3,3,1,3,2,1,0,1,1,5,0,1,0,0,1,1,21,1,2,2,2,0,0,0,1,2,0,4,2,5,54480,17025,2,0,2,1,3,6,5,7,5,3,1,0,4,2,0,1,2018
0,1,0,3,2,0,2,3,4,4,1,4,0,1,1,0,1,3,0,1,0,5,4,1,24,1,1,1,2,5,0,0,1,1,0,1,2,5,30645,20430,2,1,2,1,3,3,3,7,3,3,2,0,5,2,0,1,2018
2,1,3,8,3,0,3,2,3,2,2,3,2,1,1,2,3,6,0,0,0,0,1,1,25,2,1,1,2,1,0,0,2,2,0,1,2,5,37455,8512.5,2,0,2,1,3,5,3,5,2,3,2,0,2,2,0,1,2018
2,1,3,3,2,0,3,3,3,3,1,3,0,1,0,2,3,6,0,1,0,0,1,1,27,2,3,2,2,5,0,0,2,2,0,2,2,7,17025,17025,2,0,2,1,3,5,3,3,2,3,2,0,4,2,0,1,2018
0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,6,0,1,2,0,0,0,30,0,0,0,0,0,3,0,1,2,5,2,0,2,54480,6242.5,3,0,1,0,3,0,0,0,0,0,3,4,0,0,1,0,2018
1,1,0,2,3,0,4,4,4,4,1,3,0,1,1,1,3,1,0,0,0,5,4,1,34,1,1,2,2,10,0,0,2,2,0,3,2,3,54480,54480,4,0,1,1,3,4,5,6,5,3,4,0,5,2,0,3,2018
